Group;Animal;11;14;18;21;25;32;39;Tumor_Weight
Control;E4C1;77;137.6;196;334.6;503.6;1635.9;;0.4
Control;E4C2;135.7;263.9;344.7;490.8;777.7;1145.9;;0.5
Control;E4C3;292;710.7;813.2;1362.9;1865.2;2274.6;;0.7
Control;E4C4;327.5;521.2;900.2;1382.6;1704.2;3631.2;;0.9
Control;E4C5;126.9;145.3;182.6;275.2;298.5;521.2;727.8;0.6
Control;E4C6;386;604.5;1298.2;1575.7;2143.3;;;0.9
Control;E4C7;114.7;166.5;195.3;350.4;476.7;1180.7;;0.3
Control;E4C8;176.6;283.7;465.8;1016.1;1147.3;1853.8;;0.4
Control;E4C9;226.1;385.4;568.6;874.6;1121.5;1760.4;;0.6
Control;E4C10;128.4;269;369.7;658.5;851.9;1681.2;;0.6
Treatment;E4T1;315.8;444.9;526.9;579.8;903.1;1500.4;;0.5
Treatment;E4T2;161.8;174.9;229.9;270;349.8;482.9;954.0;0.35
Treatment;E4T3;242.8;363.6;421.3;523.2;607.5;731.5;;0.4
Treatment;E4T4;258.6;349;382.9;464;482.1;638.5;893.1;0.4
Treatment;E4T5;336.8;401.6;388.8;510.5;590.8;660.1;480.5;0.3
Treatment;E4T6;131.3;171;192.6;267.2;389;979.3;710.5;0.5
Treatment;E4T7;139.4;244.3;297.4;363.7;546.8;1119.5;465.6;0.5
Treatment;E4T8;24.2;39.3;42.5;31.6;32.3;163.6;77.4;0.05
Treatment;E4T9;180.7;207.6;212.9;248.5;302.2;353.2;363.6;0.3
Treatment;E4T10;398.4;543.8;590.6;605;659.5;957.2;;0.4
Treatment;E4T11;315.8;444.9;526.9;579.8;903.1;1500.4;;0.4
